osm_id,osm_type,name,highway,place,mean_dynamic_risk,max_dynamic_risk,high_or_worse_fraction,risk_category,priority
22827106,way,,trunk,,0.42410222973142353,0.6585408449172974,0.2857142857142857,VERY HIGH,VERY HIGH
22827110,way,,unclassified,,0.00702706930626716,0.03331448510289192,0.0,LOW,LOW
22827116,way,,secondary,,,,0.0,NO DATA,NO DATA
22827160,way,,trunk,,0.36386778950691223,0.46507349610328674,0.0,ELEVATED,MODERATE
22827180,way,,primary,,,,0.0,NO DATA,NO DATA
22827188,way,,secondary,,0.014365816821477242,0.0314328595995903,0.0,LOW,LOW
32027062,way,,trunk,,0.03658793494105339,0.03658793494105339,0.0,LOW,LOW
44638618,way,Garchuk Pamohi Road,secondary,,,,0.0,NO DATA,NO DATA
44638677,way,,tertiary,,,,0.0,NO DATA,NO DATA
44638799,way,,trunk,,,,0.0,NO DATA,NO DATA
44638826,way,Assam Engineering College Road,secondary,,,,0.0,NO DATA,NO DATA
44639607,way,Panjabari Road,secondary,,,,0.0,NO DATA,NO DATA
44639845,way,VIP Road,secondary,,,,0.0,NO DATA,NO DATA
44643275,way,,trunk,,,,0.0,NO DATA,NO DATA
44643283,way,,trunk,,,,0.0,NO DATA,NO DATA
44643353,way,NH37,trunk,,,,0.0,NO DATA,NO DATA
44643354,way,,trunk,,,,0.0,NO DATA,NO DATA
44643380,way,,primary,,,,0.0,NO DATA,NO DATA
44643397,way,,tertiary,,,,0.0,NO DATA,NO DATA
44644201,way,,tertiary,,,,0.0,NO DATA,NO DATA
44644259,way,Ganesh Nager Road,tertiary,,,,0.0,NO DATA,NO DATA
44644278,way,,tertiary,,,,0.0,NO DATA,NO DATA
44644279,way,,tertiary,,,,0.0,NO DATA,NO DATA
44644280,way,,tertiary,,,,0.0,NO DATA,NO DATA
44644341,way,pilingkata road,tertiary,,,,0.0,NO DATA,NO DATA
44644363,way,patarkuchi road,tertiary,,,,0.0,NO DATA,NO DATA
44644445,way,Pir Azan Fakir Road,tertiary,,,,0.0,NO DATA,NO DATA
44644447,way,,tertiary,,,,0.0,NO DATA,NO DATA
